N,P,K,temperature,humidity,ph,rainfall,soil_type,season,region,soil_moisture,irrigation,sunlight,crop
76.6,52.4,27.0,16.36,50.48,7.51,611.02,Sandy,Rabi,Himalayan Region,52.88,Available,8.19,Barley
145.1,56.1,33.8,19.63,51.33,6.73,594.27,Loamy,Rabi,North India,56.01,Available,7.58,Wheat
83.5,57.2,45.7,32.15,69.78,6.88,1085.83,Red Soil,Kharif,Central India,57.05,Available,7.8,Maize
87.1,37.3,31.2,22.55,81.71,7.18,3133.87,Loamy,Kharif,North India,81.62,Available,8.42,Rice
34.7,59.6,27.6,18.41,47.4,7.24,574.14,Black Soil,Rabi,Central India,42.35,Available,7.84,Chickpea
110.2,67.7,69.9,15.54,56.36,6.85,680.45,Loamy,Rabi,Central India,58.57,Available,8.91,Wheat
138.1,70.6,76.8,31.07,81.43,6.73,2192.37,Clay,Whole Year,South India,74.95,Canal Irrigation,7.56,Sugarcane
44.3,51.9,48.2,29.0,57.31,6.94,476.88,Sandy,Rabi,South India,47.42,Rainfed,9.61,Sorghum
24.4,43.2,44.3,15.45,50.57,7.0,305.36,Loamy,Rabi,East India,45.16,Rainfed,6.69,Lentil
64.3,38.9,33.5,25.79,92.22,6.81,2204.04,Clay,Kharif,North India,80.01,Canal Irrigation,8.3,Rice
109.9,61.2,47.4,16.08,51.77,6.44,601.5,Clay,Rabi,North India,52.28,Available,7.77,Wheat
39.5,43.1,100.6,23.68,81.17,6.56,1885.17,Sandy,Whole Year,South India,79.26,Available,9.96,Coconut
86.0,47.3,48.4,15.64,55.2,6.55,508.68,Loamy,Rabi,North India,40.78,Available,8.18,Mustard
100.5,54.0,74.1,28.34,61.46,6.7,1312.37,Red Soil,Whole Year,West India,62.77,Available,11.81,Mango
46.2,41.0,35.5,31.82,35.32,6.22,545.39,Sandy,Kharif,Central India,30.34,Rainfed,9.51,Millet
39.3,68.8,18.2,20.73,61.11,6.95,554.56,Silty,Rabi,North India,37.74,Available,8.01,Lentil
93.1,47.7,109.7,21.68,80.75,5.47,2387.61,Peaty,Whole Year,South India,75.8,Available,6.1,Coffee
140.5,72.2,158.0,27.25,70.85,6.79,1626.48,Clay,Whole Year,South India,78.11,Drip Irrigation,8.65,Banana
109.6,41.4,37.3,23.31,79.83,5.9,2292.2,Clay,Kharif,East India,80.25,Available,8.32,Rice
60.3,33.6,129.2,31.63,93.86,6.04,2076.15,Sandy,Whole Year,West India,73.94,Available,9.47,Coconut
47.2,41.6,117.9,32.89,89.61,7.08,1823.28,Loamy,Whole Year,West India,74.9,Rainfed,9.38,Coconut
17.0,49.9,37.8,25.94,55.22,6.36,710.89,Loamy,Kharif,West India,43.67,Rainfed,8.97,Groundnut
98.0,102.0,102.4,23.15,56.79,5.97,541.97,Loamy,Rabi,East India,67.54,Available,7.05,Potato
93.7,62.3,115.8,23.39,64.81,6.71,1162.12,Red Soil,Whole Year,South India,50.41,Drip Irrigation,8.99,Tomato
94.0,108.0,108.9,23.73,58.36,6.36,497.34,Loamy,Rabi,East India,61.86,Available,6.75,Potato
148.5,72.3,77.1,27.71,73.56,6.87,2139.6,Clay,Whole Year,West India,69.51,Available,7.29,Sugarcane
104.1,62.0,39.5,27.59,56.97,6.24,936.2,Loamy,Kharif,North India,53.29,Available,7.83,Maize
69.6,54.5,46.6,19.02,73.44,6.36,387.53,Sandy,Rabi,North India,48.19,Available,8.42,Mustard
30.6,53.8,50.0,26.58,68.56,6.79,776.12,Sandy,Zaid,South India,37.88,Rainfed,8.0,Groundnut
123.0,78.6,154.5,30.69,81.7,6.76,2438.43,Loamy,Whole Year,East India,75.76,Drip Irrigation,6.81,Banana
77.6,55.3,28.6,22.04,73.81,6.64,2059.45,Clay,Kharif,South India,74.85,Available,7.83,Rice
135.0,85.1,140.3,31.52,85.56,6.88,2267.26,Clay,Whole Year,East India,72.51,Available,6.7,Banana
101.4,56.4,99.5,28.91,52.29,6.07,1251.48,Loamy,Whole Year,North India,60.11,Available,9.19,Mango
85.1,45.0,41.4,14.0,45.67,7.58,624.91,Loamy,Rabi,North India,46.64,Available,8.74,Barley
131.1,59.8,52.8,31.96,72.8,6.71,777.47,Black Soil,Kharif,Central India,60.09,Drip Irrigation,9.7,Cotton
47.1,71.1,54.0,26.03,69.79,6.2,952.04,Loamy,Kharif,Central India,63.16,Rainfed,7.1,Soybean
122.5,66.5,118.3,26.6,65.71,6.48,558.94,Loamy,Whole Year,South India,67.77,Drip Irrigation,7.89,Tomato
68.2,38.0,50.0,12.67,53.09,7.6,777.95,Loamy,Rabi,North India,43.94,Rainfed,8.91,Barley
157.2,75.9,81.1,24.25,80.7,6.65,1813.65,Clay,Whole Year,North India,79.94,Available,7.66,Sugarcane
115.9,54.0,54.8,17.24,90.06,5.62,3120.49,Peaty,Whole Year,Himalayan Region,77.53,Available,5.93,Tea
172.1,91.7,89.9,28.16,84.33,7.32,1828.8,Black Soil,Whole Year,North India,69.04,Available,9.52,Sugarcane
81.1,56.7,45.1,26.01,84.17,6.48,2395.7,Clay,Kharif,North India,88.39,Canal Irrigation,8.03,Rice
46.1,41.8,113.1,29.31,85.52,7.1,1884.83,Loamy,Whole Year,South India,67.86,Rainfed,10.12,Coconut
118.6,92.8,125.6,24.44,87.54,6.52,1939.63,Loamy,Whole Year,West India,82.34,Available,7.81,Banana
79.2,54.2,49.7,29.6,86.07,6.25,2031.45,Clay,Kharif,East India,80.91,Canal Irrigation,5.6,Rice
83.9,71.7,136.3,21.45,69.91,6.07,640.17,Sandy,Rabi,East India,66.71,Available,5.16,Potato
116.5,52.8,82.3,24.84,68.3,6.08,2065.08,Peaty,Whole Year,South India,65.15,Rainfed,8.08,Coffee
25.8,88.6,26.9,24.99,35.71,7.12,423.17,Loamy,Rabi,Central India,44.52,Rainfed,7.37,Chickpea
61.4,50.0,137.7,31.19,89.78,7.02,1990.93,Loamy,Whole Year,South India,73.83,Available,8.8,Coconut
14.7,50.7,54.0,21.88,67.45,6.07,534.5,Red Soil,Kharif,West India,41.63,Rainfed,8.43,Groundnut
62.3,35.7,34.5,26.82,45.08,6.74,454.12,Black Soil,Kharif,Central India,42.97,Rainfed,7.72,Sorghum
60.0,19.2,41.0,31.06,36.71,5.62,247.75,Sandy,Kharif,West India,27.63,Rainfed,8.55,Millet
114.1,83.8,143.6,28.66,82.75,6.11,2678.57,Clay,Whole Year,South India,80.72,Drip Irrigation,8.39,Banana
33.5,62.0,20.4,23.93,41.49,7.31,547.7,Loamy,Rabi,Central India,34.64,Rainfed,8.52,Chickpea
96.6,47.1,110.9,17.81,66.01,5.41,2239.26,Loamy,Whole Year,South India,67.67,Available,6.69,Coffee
85.9,46.6,31.8,13.45,52.01,6.19,217.26,Sandy,Rabi,North India,45.98,Available,8.82,Mustard
69.7,59.2,71.9,27.41,83.31,6.68,967.39,Red Soil,Whole Year,West India,48.8,Rainfed,7.85,Mango
71.3,39.0,23.4,12.62,61.35,5.51,402.11,Loamy,Rabi,North India,52.51,Rainfed,7.1,Mustard
75.3,51.1,38.3,20.31,60.85,6.58,727.67,Loamy,Kharif,South India,56.82,Rainfed,8.93,Maize
23.0,56.3,18.9,16.13,47.34,6.92,440.68,Loamy,Rabi,North India,45.78,Available,6.29,Lentil
83.6,100.5,114.2,19.14,68.78,5.47,497.83,Loamy,Rabi,East India,56.08,Available,6.61,Potato
79.8,46.0,31.2,24.85,80.27,5.81,2461.85,Clay,Kharif,South India,86.86,Available,6.56,Rice
86.7,47.0,49.8,16.97,56.1,7.9,675.09,Sandy,Rabi,North India,44.49,Available,7.95,Barley
138.5,85.1,95.2,27.81,63.85,6.3,595.43,Red Soil,Whole Year,South India,50.15,Available,7.97,Tomato
130.3,63.6,52.5,18.49,47.16,6.93,616.5,Clay,Rabi,North India,40.99,Available,10.38,Wheat
51.0,33.2,35.2,18.04,45.86,7.76,536.61,Sandy,Rabi,North India,34.65,Available,7.61,Barley
70.2,36.2,45.1,13.39,43.65,7.29,481.08,Loamy,Rabi,Himalayan Region,37.83,Rainfed,8.34,Barley
92.7,38.8,33.7,28.24,77.33,7.47,890.74,Sandy,Kharif,North India,53.91,Rainfed,7.04,Maize
81.8,54.3,35.7,24.9,60.42,6.17,1029.54,Loamy,Kharif,Central India,54.41,Rainfed,8.61,Maize
71.6,32.0,27.3,15.95,61.37,6.54,270.8,Loamy,Rabi,North India,44.51,Rainfed,6.7,Mustard
33.5,33.2,50.6,23.43,60.12,6.07,777.93,Loamy,Kharif,South India,37.8,Rainfed,9.32,Groundnut
91.3,54.7,13.3,26.04,61.59,6.76,976.59,Loamy,Kharif,South India,66.75,Rainfed,6.4,Maize
122.2,43.6,67.9,15.85,85.23,5.18,2512.45,Peaty,Whole Year,South India,81.21,Rainfed,6.16,Tea
88.8,29.2,46.7,29.65,61.33,6.75,1132.51,Red Soil,Kharif,North India,66.24,Rainfed,9.09,Maize
34.8,52.8,32.4,23.95,73.38,6.94,767.46,Black Soil,Kharif,Central India,53.58,Available,7.07,Soybean
107.5,103.0,131.8,23.24,77.54,5.92,832.13,Sandy,Rabi,East India,70.96,Available,5.45,Potato
87.4,64.6,89.8,23.1,79.18,5.66,2182.78,Peaty,Whole Year,South India,66.11,Rainfed,4.34,Coffee
89.9,23.9,57.0,18.54,58.08,6.5,342.57,Sandy,Rabi,North India,49.12,Available,7.49,Mustard
50.3,31.6,32.6,29.65,48.77,7.04,709.44,Sandy,Kharif,South India,39.08,Available,7.94,Sorghum
72.8,52.1,31.7,12.86,52.35,6.04,315.14,Sandy,Rabi,North India,46.48,Rainfed,6.15,Mustard
110.1,43.7,101.7,16.2,71.05,5.56,1958.96,Peaty,Whole Year,South India,65.24,Available,6.66,Coffee
97.1,34.8,35.4,25.61,74.82,6.8,1961.16,Loamy,Kharif,East India,79.54,Canal Irrigation,7.5,Rice
90.6,94.3,156.5,20.48,67.98,5.05,498.23,Loamy,Rabi,East India,70.88,Available,5.49,Potato
32.5,75.6,26.8,24.02,40.81,8.04,404.39,Black Soil,Rabi,Central India,49.72,Rainfed,6.73,Chickpea
116.2,38.6,78.0,20.03,83.91,5.11,2692.42,Peaty,Whole Year,East India,73.09,Rainfed,7.9,Tea
127.7,94.0,152.2,30.16,77.38,6.08,2163.77,Clay,Whole Year,South India,59.29,Available,8.41,Banana
124.6,64.0,94.9,22.91,87.84,5.89,829.2,Sandy,Whole Year,North India,67.28,Drip Irrigation,7.46,Tomato
110.8,78.1,44.6,17.46,58.82,7.17,412.96,Loamy,Rabi,Central India,59.11,Available,7.64,Wheat
81.8,47.7,46.7,16.07,57.2,6.73,694.9,Loamy,Rabi,Himalayan Region,41.9,Available,9.26,Barley
26.2,53.0,54.8,30.37,58.99,6.19,909.55,Sandy,Zaid,South India,45.6,Rainfed,5.91,Groundnut
94.3,44.8,43.8,30.02,81.33,6.74,1831.35,Clay,Kharif,South India,76.8,Available,6.08,Rice
139.9,65.0,31.1,17.28,58.17,7.42,966.44,Loamy,Rabi,North India,54.08,Available,8.33,Wheat
37.2,68.0,61.3,28.8,69.31,6.35,938.02,Black Soil,Kharif,Central India,52.54,Rainfed,6.94,Soybean
100.4,47.9,113.7,16.73,81.41,6.02,2103.1,Peaty,Whole Year,South India,57.07,Available,5.92,Coffee
152.6,64.8,138.8,29.32,71.6,6.79,2257.36,Clay,Whole Year,South India,73.1,Available,9.67,Banana
134.3,51.6,61.8,33.53,51.64,7.26,672.24,Loamy,Kharif,West India,47.02,Drip Irrigation,10.66,Cotton
125.3,88.3,59.8,30.15,73.18,6.61,1740.08,Black Soil,Whole Year,North India,75.07,Available,9.97,Sugarcane
22.4,42.3,37.9,14.86,54.9,6.33,395.84,Loamy,Rabi,North India,31.99,Available,7.35,Lentil
42.0,70.3,40.7,24.13,87.11,6.57,810.18,Black Soil,Kharif,Central India,50.1,Rainfed,7.72,Soybean
34.0,74.9,30.8,17.0,41.91,7.17,416.29,Black Soil,Rabi,North India,43.84,Rainfed,7.23,Chickpea
93.2,71.0,102.7,24.09,64.06,6.43,836.58,Sandy,Kharif,North India,56.89,Drip Irrigation,8.77,Tomato
67.4,54.9,54.1,35.06,54.11,6.75,567.54,Sandy,Kharif,South India,37.6,Rainfed,10.65,Sorghum
100.1,53.7,40.5,29.3,79.98,6.17,1013.87,Loamy,Kharif,North India,58.0,Available,7.85,Maize
96.1,79.7,121.6,19.43,51.06,5.45,543.8,Loamy,Rabi,North India,61.33,Available,6.68,Potato
102.1,51.9,91.4,37.78,62.84,6.18,1102.15,Loamy,Whole Year,South India,58.78,Available,9.15,Mango
29.1,74.5,26.7,19.94,74.05,7.64,677.53,Black Soil,Kharif,West India,68.34,Available,8.9,Soybean
65.3,52.7,112.9,34.62,65.62,5.92,1415.16,Red Soil,Whole Year,South India,56.66,Available,9.6,Mango
126.5,73.8,189.3,30.07,88.58,6.85,2156.49,Clay,Whole Year,West India,83.46,Drip Irrigation,9.22,Banana
83.8,45.4,70.9,33.32,57.23,6.46,1371.33,Red Soil,Whole Year,North India,56.1,Rainfed,7.26,Mango
118.6,52.9,41.7,17.19,55.0,6.51,496.6,Loamy,Rabi,West India,38.44,Available,8.1,Wheat
36.8,32.0,19.5,25.66,51.24,6.2,535.77,Red Soil,Kharif,Central India,34.9,Rainfed,9.45,Millet
120.8,53.6,76.1,22.03,90.31,5.35,2238.31,Loamy,Whole Year,East India,78.97,Rainfed,6.61,Tea
103.3,51.6,100.7,21.41,74.57,6.3,678.38,Loamy,Rabi,South India,68.7,Drip Irrigation,6.8,Tomato
47.6,76.1,53.9,24.18,70.59,6.78,622.37,Black Soil,Kharif,Central India,54.58,Rainfed,6.99,Soybean
101.8,78.1,103.9,23.07,79.19,6.24,2224.79,Loamy,Whole Year,South India,81.46,Rainfed,5.65,Coffee
70.3,28.8,37.6,28.25,35.26,7.05,540.78,Sandy,Kharif,West India,41.85,Rainfed,7.48,Sorghum
128.5,51.6,61.9,20.5,91.11,5.11,2560.56,Peaty,Whole Year,Himalayan Region,76.72,Rainfed,7.26,Tea
134.1,95.5,160.9,26.55,84.67,5.97,2161.67,Loamy,Whole Year,South India,71.93,Available,8.99,Banana
131.9,64.3,64.4,32.26,84.42,7.01,1540.19,Loamy,Whole Year,West India,74.96,Canal Irrigation,7.94,Sugarcane
100.5,46.5,103.5,37.86,73.96,6.51,1332.83,Loamy,Whole Year,West India,62.67,Available,9.41,Mango
117.6,105.6,97.3,18.01,70.94,6.2,486.93,Loamy,Rabi,North India,65.07,Available,6.62,Potato
154.2,68.5,86.8,31.13,68.56,6.53,2288.45,Black Soil,Whole Year,North India,76.14,Available,8.81,Sugarcane
90.6,49.0,106.6,23.02,90.02,5.6,2143.0,Peaty,Whole Year,South India,74.2,Available,6.66,Coffee
28.3,39.2,30.7,18.24,58.16,6.74,348.1,Loamy,Rabi,North India,41.17,Available,8.95,Lentil
132.2,78.2,192.4,28.46,84.01,6.57,2063.7,Loamy,Whole Year,West India,87.08,Available,8.08,Banana
144.7,67.4,91.8,27.22,67.64,6.41,2108.45,Loamy,Whole Year,West India,83.01,Canal Irrigation,6.67,Sugarcane
90.9,80.4,140.3,26.11,70.56,6.77,2073.54,Loamy,Whole Year,South India,81.14,Available,7.19,Banana
116.6,54.2,43.8,19.38,55.22,6.94,834.18,Silty,Rabi,Central India,41.06,Available,9.06,Wheat
53.5,62.9,133.7,21.58,81.99,6.02,1575.18,Sandy,Whole Year,West India,71.29,Available,10.02,Coconut
43.1,36.9,110.5,29.54,87.11,6.15,1695.7,Sandy,Whole Year,South India,73.1,Rainfed,9.24,Coconut
94.0,53.5,81.1,32.9,62.8,6.7,1245.71,Loamy,Whole Year,South India,59.83,Available,9.47,Mango
26.4,58.1,22.1,17.08,44.38,6.54,373.09,Loamy,Rabi,East India,39.28,Rainfed,8.36,Lentil
80.3,47.5,33.7,22.84,58.38,6.58,724.99,Sandy,Kharif,Central India,58.64,Available,8.66,Maize
107.8,57.1,62.2,22.56,87.4,4.45,2858.21,Loamy,Whole Year,South India,82.01,Rainfed,8.08,Tea
94.1,39.9,43.4,14.7,41.6,7.32,415.65,Loamy,Rabi,Himalayan Region,44.83,Available,8.65,Barley
82.6,92.8,116.8,16.81,58.98,6.46,630.33,Loamy,Rabi,North India,64.15,Available,6.6,Potato
98.2,67.0,41.0,28.44,67.9,7.24,1100.36,Sandy,Rabi,Central India,57.81,Rainfed,6.71,Maize
25.2,43.1,59.4,20.59,64.49,6.23,792.26,Sandy,Zaid,South India,51.06,Available,8.29,Groundnut
93.6,51.6,38.8,16.28,57.06,6.45,773.46,Silty,Rabi,North India,51.95,Available,8.72,Wheat
62.9,35.0,28.1,40.43,51.96,7.63,620.16,Red Soil,Kharif,West India,29.28,Rainfed,8.84,Millet
75.5,27.4,141.4,32.69,89.59,6.49,2103.61,Sandy,Whole Year,West India,70.38,Available,9.39,Coconut
34.1,42.7,61.5,25.72,81.31,6.67,856.57,Loamy,Kharif,West India,50.71,Rainfed,10.12,Groundnut
100.4,38.4,23.6,26.86,79.41,6.68,2297.67,Loamy,Kharif,South India,88.73,Canal Irrigation,7.24,Rice
58.3,46.2,48.0,31.08,41.1,6.45,216.02,Loamy,Kharif,Central India,37.31,Rainfed,7.88,Sorghum
114.9,66.7,88.3,23.56,78.74,6.05,692.54,Red Soil,Kharif,North India,64.0,Drip Irrigation,8.01,Tomato
130.1,60.4,59.3,22.6,56.02,6.28,562.87,Loamy,Rabi,North India,52.82,Available,10.33,Wheat
86.3,47.2,38.0,27.97,35.73,6.93,530.51,Loamy,Kharif,West India,32.38,Rainfed,9.54,Sorghum
102.8,53.7,35.3,30.14,86.27,6.79,2272.93,Clay,Kharif,East India,74.93,Available,5.71,Rice
54.1,33.1,33.4,29.04,55.67,5.7,648.69,Sandy,Kharif,Central India,48.38,Rainfed,9.94,Millet
124.8,71.3,108.8,25.91,61.08,6.2,1014.04,Loamy,Whole Year,North India,61.86,Drip Irrigation,8.31,Tomato
70.9,41.3,37.3,24.89,52.94,7.41,1062.44,Loamy,Kharif,South India,54.42,Rainfed,8.25,Maize
17.0,69.6,59.1,27.26,52.52,6.67,821.41,Loamy,Kharif,South India,42.47,Rainfed,7.69,Groundnut
79.0,31.7,141.8,28.04,83.12,7.45,1889.21,Sandy,Whole Year,South India,71.04,Available,8.34,Coconut
63.1,25.9,37.8,32.34,54.59,6.45,347.43,Loamy,Kharif,Central India,38.65,Rainfed,10.24,Millet
23.2,59.0,20.5,15.71,40.58,6.9,506.81,Loamy,Rabi,North India,42.63,Available,7.23,Lentil
108.6,66.7,145.5,27.2,74.18,6.78,2197.27,Loamy,Whole Year,South India,80.69,Drip Irrigation,7.65,Banana
115.4,48.6,62.4,20.52,92.64,5.22,2616.48,Peaty,Whole Year,East India,80.14,Rainfed,6.0,Tea
90.5,45.2,43.5,18.4,50.25,7.28,525.82,Loamy,Rabi,West India,46.61,Available,7.85,Mustard
102.4,61.9,67.3,34.07,53.45,7.05,598.74,Black Soil,Kharif,West India,60.21,Rainfed,8.61,Cotton
34.2,44.4,48.7,27.03,70.51,6.3,796.91,Red Soil,Kharif,South India,45.41,Available,8.02,Groundnut
100.0,66.7,103.0,26.71,76.64,5.86,2578.49,Peaty,Whole Year,South India,68.83,Rainfed,4.69,Coffee
117.3,71.3,62.8,18.63,58.34,7.53,795.29,Loamy,Kharif,West India,60.21,Rainfed,7.19,Cotton
123.7,58.5,42.1,27.41,59.03,7.05,844.62,Loamy,Kharif,Central India,50.79,Available,8.07,Cotton
121.0,68.0,57.9,18.9,53.71,7.32,722.91,Loamy,Rabi,North India,50.78,Available,9.6,Wheat
102.7,80.9,101.5,16.09,66.44,6.95,1082.95,Red Soil,Whole Year,West India,52.5,Drip Irrigation,6.99,Tomato
56.8,42.5,47.7,19.86,75.45,5.77,765.94,Red Soil,Kharif,South India,60.22,Available,8.59,Maize
36.9,63.4,39.4,20.02,73.58,6.12,1154.06,Loamy,Kharif,Central India,56.13,Rainfed,8.33,Soybean
91.7,85.5,108.8,15.74,73.45,6.0,499.91,Loamy,Kharif,North India,66.22,Drip Irrigation,8.53,Tomato
76.6,28.6,52.1,16.35,60.31,7.2,422.73,Loamy,Rabi,Himalayan Region,50.35,Available,9.4,Barley
26.9,62.8,32.4,20.52,53.21,7.66,557.96,Black Soil,Rabi,North India,23.0,Available,7.65,Chickpea
150.9,96.3,78.9,33.26,94.96,6.62,1658.81,Loamy,Whole Year,North India,81.12,Available,10.46,Sugarcane
49.1,41.8,48.5,30.93,66.74,6.19,570.49,Red Soil,Zaid,South India,47.09,Available,7.72,Groundnut
104.5,52.5,67.2,20.96,86.53,4.98,2762.73,Loamy,Whole Year,East India,72.47,Available,5.84,Tea
98.8,60.9,136.3,26.86,60.79,6.87,854.26,Loamy,Whole Year,South India,53.52,Available,8.4,Tomato
23.4,50.4,55.6,21.59,55.05,6.15,750.1,Sandy,Kharif,West India,46.8,Available,8.36,Groundnut
84.4,65.1,91.8,16.95,70.6,6.13,2190.67,Peaty,Whole Year,South India,59.89,Rainfed,7.38,Coffee
92.1,16.3,51.5,16.67,63.46,6.62,467.09,Loamy,Rabi,North India,50.5,Available,9.3,Barley
25.8,67.3,31.9,21.5,61.69,6.88,485.17,Loamy,Rabi,North India,35.88,Rainfed,9.86,Chickpea
29.7,58.4,43.6,16.43,46.14,7.88,713.35,Loamy,Rabi,Central India,42.56,Rainfed,7.53,Chickpea
107.3,57.6,104.8,24.03,83.03,5.44,2012.51,Peaty,Whole Year,South India,70.06,Rainfed,4.95,Coffee
88.3,42.1,45.6,27.1,83.05,6.32,2003.29,Clay,Kharif,North India,83.16,Available,5.55,Rice
124.2,61.8,40.3,14.06,54.61,6.97,662.49,Loamy,Rabi,North India,36.74,Canal Irrigation,7.84,Wheat
120.4,44.0,57.9,23.39,52.59,6.94,964.94,Black Soil,Kharif,South India,44.52,Available,10.81,Cotton
77.1,70.6,118.0,18.72,90.34,6.54,826.84,Loamy,Rabi,North India,60.73,Available,6.49,Potato
56.3,32.6,149.4,30.83,76.15,6.61,1777.3,Sandy,Whole Year,West India,68.16,Available,9.73,Coconut
94.8,62.9,94.3,23.4,75.35,6.63,829.63,Red Soil,Whole Year,North India,52.44,Drip Irrigation,9.23,Tomato
34.2,64.6,22.1,24.93,55.41,7.32,553.66,Black Soil,Rabi,Central India,36.87,Available,7.66,Chickpea
71.3,53.1,43.2,19.21,60.7,6.6,458.18,Sandy,Rabi,North India,53.05,Rainfed,7.57,Mustard
76.7,53.2,86.8,31.48,61.19,6.91,1630.96,Red Soil,Whole Year,South India,50.55,Available,8.45,Mango
118.3,72.7,37.3,20.32,55.96,5.98,752.56,Loamy,Rabi,North India,56.97,Available,9.19,Wheat
119.7,46.3,73.1,18.17,85.97,4.87,2319.83,Loamy,Whole Year,Himalayan Region,83.05,Rainfed,5.92,Tea
9.8,73.3,28.8,22.55,50.92,7.37,448.85,Loamy,Rabi,Central India,36.0,Rainfed,9.33,Chickpea
122.4,48.5,41.1,23.42,60.41,7.18,638.5,Loamy,Rabi,North India,60.77,Available,7.37,Wheat
90.8,58.6,42.1,22.83,62.82,7.0,558.69,Sandy,Rabi,North India,37.24,Available,6.75,Mustard
97.1,92.0,95.9,22.89,59.43,5.66,692.71,Loamy,Rabi,North India,62.25,Available,7.64,Potato
66.2,45.9,40.4,27.57,51.31,6.81,730.35,Black Soil,Kharif,South India,34.26,Rainfed,6.83,Sorghum
121.1,75.0,112.4,21.24,63.19,7.15,1097.5,Loamy,Kharif,South India,63.21,Drip Irrigation,8.75,Tomato
103.2,62.0,61.6,30.13,67.52,7.35,1054.69,Black Soil,Kharif,West India,50.73,Available,9.58,Cotton
50.1,30.3,124.0,28.86,82.77,6.48,1820.58,Loamy,Whole Year,South India,84.29,Available,9.78,Coconut
50.1,78.7,70.2,21.04,70.94,6.66,737.25,Loamy,Kharif,West India,49.96,Rainfed,8.29,Soybean
25.5,67.4,33.6,19.87,49.09,6.93,483.87,Black Soil,Rabi,Central India,49.71,Rainfed,7.59,Chickpea
82.4,72.6,80.8,27.72,59.67,6.71,1354.89,Loamy,Whole Year,West India,54.5,Available,8.59,Mango
33.5,53.4,43.4,25.51,64.34,6.41,848.27,Red Soil,Kharif,South India,58.8,Available,8.24,Groundnut
114.3,86.5,87.8,25.58,71.65,5.64,1104.81,Red Soil,Whole Year,West India,56.35,Available,8.21,Tomato
102.9,51.0,65.9,17.82,87.09,5.02,2547.54,Peaty,Whole Year,Himalayan Region,74.52,Available,6.27,Tea
91.6,57.5,46.2,11.07,54.44,6.24,329.26,Sandy,Rabi,West India,42.79,Available,8.21,Mustard
25.9,58.4,67.1,24.41,70.1,6.58,791.08,Red Soil,Zaid,South India,45.34,Rainfed,9.53,Groundnut
106.7,39.5,48.0,32.82,47.12,7.41,994.9,Black Soil,Kharif,Central India,56.36,Drip Irrigation,8.35,Cotton
72.5,37.3,33.2,28.04,48.68,7.09,725.96,Black Soil,Rabi,South India,37.5,Rainfed,9.79,Sorghum
90.4,66.9,110.1,21.31,78.39,5.64,2009.02,Loamy,Whole Year,South India,75.25,Rainfed,5.77,Coffee
83.0,45.2,38.7,20.52,63.75,6.42,900.42,Sandy,Rabi,Central India,61.43,Available,8.8,Maize
84.3,61.1,66.4,22.8,77.26,5.5,2418.5,Loamy,Whole Year,South India,71.33,Available,6.79,Coffee
34.1,52.2,34.4,23.12,54.24,6.55,606.24,Sandy,Kharif,West India,58.79,Rainfed,9.49,Groundnut
49.9,71.8,33.8,28.27,60.38,6.45,1152.46,Loamy,Kharif,Central India,68.55,Rainfed,6.3,Soybean
43.3,40.9,26.0,30.11,44.19,6.31,692.33,Red Soil,Kharif,West India,36.12,Rainfed,8.77,Millet
158.8,71.6,88.7,33.47,72.27,7.16,1857.74,Loamy,Whole Year,West India,85.09,Available,9.71,Sugarcane
28.2,65.6,34.9,23.97,50.89,6.53,515.92,Black Soil,Rabi,Central India,35.85,Rainfed,6.63,Chickpea
120.2,49.3,59.7,21.87,54.4,7.11,812.7,Loamy,Kharif,South India,59.56,Rainfed,7.44,Cotton
34.7,59.7,17.8,20.6,31.45,7.17,482.44,Loamy,Rabi,Central India,32.53,Available,7.56,Chickpea
25.8,52.5,35.4,17.07,78.98,6.27,566.19,Loamy,Kharif,Central India,46.37,Rainfed,8.2,Soybean
92.2,52.9,28.8,16.27,45.55,7.17,218.2,Loamy,Rabi,North India,53.36,Available,7.8,Mustard
120.4,50.5,33.4,15.56,54.64,7.2,766.15,Loamy,Rabi,West India,47.96,Available,8.05,Wheat
105.7,54.0,113.4,18.46,75.88,6.18,1841.38,Loamy,Whole Year,South India,78.09,Rainfed,7.74,Coffee
77.5,47.1,117.8,29.41,81.25,6.07,1763.23,Sandy,Whole Year,South India,64.58,Rainfed,8.62,Coconut
27.4,60.1,46.4,22.53,61.68,6.53,783.76,Loamy,Kharif,Central India,53.4,Rainfed,6.27,Soybean
74.3,37.6,28.8,16.6,55.26,6.75,377.42,Loamy,Rabi,West India,50.66,Rainfed,5.6,Mustard
91.3,39.6,22.6,16.92,50.89,7.16,575.47,Loamy,Rabi,North India,44.17,Available,8.14,Barley
115.5,52.5,42.6,20.04,49.87,6.96,764.3,Silty,Rabi,North India,50.18,Available,8.86,Wheat
35.0,55.3,44.0,22.44,85.5,6.34,760.83,Black Soil,Kharif,Central India,54.53,Available,6.12,Soybean
121.2,63.6,76.8,34.3,65.2,6.6,2232.42,Black Soil,Whole Year,North India,64.51,Canal Irrigation,5.94,Sugarcane
44.7,69.3,44.1,23.99,69.27,6.93,1035.2,Loamy,Kharif,West India,63.23,Rainfed,6.46,Soybean
25.2,66.8,41.6,20.31,47.75,7.09,444.14,Loamy,Rabi,North India,42.58,Rainfed,9.49,Chickpea
